ts,level,relevant_count,tier3_count,failed_count,sources_scanned
2026-07-19T14:32:14.114822+00:00,QUIET,0,0,0,
2026-07-19T14:56:07.135814+00:00,QUIET,0,0,0,
2026-07-19T15:18:50.192513+00:00,QUIET,0,0,0,
2026-07-19T19:08:01.877574+00:00,QUIET,0,0,0,
2026-07-19T19:12:12.445450+00:00,QUIET,0,0,0,
2026-07-19T19:22:21.468630+00:00,QUIET,0,0,0,
2026-07-20T05:13:56.536063+00:00,QUIET,0,0,0,
2026-07-20T05:19:49.920855+00:00,QUIET,0,0,0,
2026-07-20T09:33:16.914629+00:00,QUIET,0,0,0,
2026-07-20T10:02:28.785741+00:00,QUIET,0,0,0,
2026-07-20T10:19:05.471676+00:00,QUIET,0,0,0,
2026-07-20T10:25:19.503925+00:00,QUIET,0,0,0,
2026-07-20T10:31:27.807754+00:00,QUIET,0,0,0,
2026-07-20T14:28:44.534811+00:00,QUIET,0,0,0,
2026-07-20T19:56:13.560848+00:00,QUIET,0,0,0,
2026-07-20T20:12:32.385250+00:00,WATCH,2,0,0,
2026-07-20T20:19:39.175558+00:00,QUIET,0,0,0,
2026-07-21T00:58:11.206195+00:00,QUIET,0,0,0,
2026-07-21T07:01:19.191837+00:00,QUIET,0,0,0,
2026-07-21T08:42:25.631420+00:00,QUIET,0,0,0,
2026-07-21T14:18:19.539014+00:00,WATCH,1,0,0,
2026-07-21T19:45:23.917141+00:00,WATCH,2,0,0,
2026-07-21T20:05:24.945685+00:00,QUIET,0,0,0,
2026-07-22T06:27:28.682717+00:00,QUIET,0,0,0,
2026-07-22T08:42:01.654267+00:00,QUIET,0,0,0,
2026-07-22T12:16:19.322881+00:00,QUIET,0,0,0,
2026-07-22T14:19:25.285973+00:00,QUIET,0,0,0,
2026-07-22T19:39:24.844739+00:00,QUIET,0,0,0,
2026-07-23T07:52:16.425035+00:00,QUIET,0,0,0,
2026-07-23T14:21:54.459102+00:00,WATCH,1,0,0,
2026-07-23T19:39:39.219924+00:00,WATCH,1,0,0,
2026-07-24T08:37:34.949734+00:00,QUIET,0,0,0,
2026-07-24T13:59:46.321886+00:00,QUIET,0,0,0,
2026-07-24T19:42:42.233272+00:00,WATCH,1,0,0,
2026-07-25T08:18:40.850066+00:00,WATCH,1,0,0,
2026-07-25T13:50:01.633152+00:00,QUIET,0,0,0,
2026-07-25T19:22:11.454790+00:00,QUIET,0,0,0,
2026-07-25T20:59:04.224273+00:00,QUIET,0,0,0,
2026-07-25T22:27:37.592718+00:00,QUIET,0,0,0,
2026-07-26T07:22:37.171830+00:00,QUIET,0,0,0,
2026-07-26T09:38:49.605322+00:00,WATCH,1,0,0,
2026-07-26T10:02:04.126304+00:00,QUIET,0,0,0,
2026-07-26T12:11:46.563423+00:00,QUIET,0,0,0,
2026-07-26T16:11:43.470272+00:00,WATCH,1,0,0,
2026-07-26T20:16:51.248231+00:00,QUIET,0,0,0,
2026-07-27T00:27:23.284553+00:00,QUIET,0,0,0,
2026-07-27T04:52:10.897730+00:00,QUIET,0,0,0,
2026-07-27T06:38:58.964423+00:00,QUIET,0,0,0,
2026-07-27T10:51:15.748249+00:00,QUIET,0,0,0,
2026-07-27T11:01:10.468496+00:00,QUIET,0,0,0,
2026-07-27T13:26:02.948077+00:00,QUIET,0,0,0,
2026-07-27T13:43:56.900868+00:00,QUIET,0,0,0,
2026-07-27T14:23:06.202078+00:00,QUIET,0,0,0,
2026-07-27T15:03:05.464567+00:00,QUIET,0,0,0,
2026-07-27T16:01:56.713582+00:00,QUIET,0,0,0,
2026-07-27T17:06:55.919219+00:00,QUIET,0,0,0,
2026-07-27T20:40:25.370511+00:00,QUIET,0,0,0,
2026-07-28T00:11:25.411858+00:00,QUIET,0,0,0,
2026-07-28T04:57:24.639980+00:00,QUIET,0,0,0,
2026-07-28T05:58:02.161675+00:00,QUIET,0,0,0,
2026-07-28T09:46:59.966946+00:00,QUIET,0,0,0,
2026-07-28T13:02:40.201712+00:00,WATCH,1,0,0,
2026-07-28T16:50:39.032062+00:00,QUIET,0,0,0,
2026-07-28T20:50:22.998114+00:00,QUIET,0,0,60,
